age,path,type
18,megaage_asian/train/1.jpg,training
1,megaage_asian/train/2.jpg,training
9,megaage_asian/train/3.jpg,training
8,megaage_asian/train/4.jpg,training
30,megaage_asian/train/5.jpg,training
4,megaage_asian/train/6.jpg,training
30,megaage_asian/train/7.jpg,training
25,megaage_asian/train/8.jpg,training
27,megaage_asian/train/9.jpg,training
55,megaage_asian/train/10.jpg,training
23,megaage_asian/train/11.jpg,training
49,megaage_asian/train/12.jpg,training
65,megaage_asian/train/13.jpg,training
34,megaage_asian/train/14.jpg,training
1,megaage_asian/train/15.jpg,training
32,megaage_asian/train/16.jpg,training
4,megaage_asian/train/17.jpg,training
36,megaage_asian/train/18.jpg,training
66,megaage_asian/train/19.jpg,training
28,megaage_asian/train/20.jpg,training
40,megaage_asian/train/21.jpg,training
19,megaage_asian/train/22.jpg,training
1,megaage_asian/train/23.jpg,training
5,megaage_asian/train/24.jpg,training
21,megaage_asian/train/25.jpg,training
36,megaage_asian/train/26.jpg,training
13,megaage_asian/train/27.jpg,training
31,megaage_asian/train/28.jpg,training
1,megaage_asian/train/29.jpg,training
33,megaage_asian/train/30.jpg,training
2,megaage_asian/train/31.jpg,training
21,megaage_asian/train/32.jpg,training
1,megaage_asian/train/33.jpg,training
26,megaage_asian/train/34.jpg,training
14,megaage_asian/train/35.jpg,training
8,megaage_asian/train/36.jpg,training
24,megaage_asian/train/37.jpg,training
13,megaage_asian/train/38.jpg,training
6,megaage_asian/train/39.jpg,training
21,megaage_asian/train/40.jpg,training
32,megaage_asian/train/41.jpg,training
24,megaage_asian/train/42.jpg,training
10,megaage_asian/train/43.jpg,training
1,megaage_asian/train/44.jpg,training
40,megaage_asian/train/45.jpg,training
28,megaage_asian/train/46.jpg,training
21,megaage_asian/train/47.jpg,training
1,megaage_asian/train/48.jpg,training
2,megaage_asian/train/49.jpg,training
40,megaage_asian/train/50.jpg,training
23,megaage_asian/train/51.jpg,training
2,megaage_asian/train/52.jpg,training
31,megaage_asian/train/53.jpg,training
32,megaage_asian/train/54.jpg,training
8,megaage_asian/train/55.jpg,training
22,megaage_asian/train/56.jpg,training
38,megaage_asian/train/57.jpg,training
21,megaage_asian/train/58.jpg,training
28,megaage_asian/train/59.jpg,training
3,megaage_asian/train/60.jpg,training
31,megaage_asian/train/61.jpg,training
40,megaage_asian/train/62.jpg,training
3,megaage_asian/train/63.jpg,training
25,megaage_asian/train/64.jpg,training
21,megaage_asian/train/65.jpg,training
23,megaage_asian/train/66.jpg,training
19,megaage_asian/train/67.jpg,training
17,megaage_asian/train/68.jpg,training
29,megaage_asian/train/69.jpg,training
14,megaage_asian/train/70.jpg,training
24,megaage_asian/train/71.jpg,training
40,megaage_asian/train/72.jpg,training
50,megaage_asian/train/73.jpg,training
10,megaage_asian/train/74.jpg,training
41,megaage_asian/train/75.jpg,training
32,megaage_asian/train/76.jpg,training
37,megaage_asian/train/77.jpg,training
22,megaage_asian/train/78.jpg,training
23,megaage_asian/train/79.jpg,training
14,megaage_asian/train/80.jpg,training
3,megaage_asian/train/81.jpg,training
6,megaage_asian/train/82.jpg,training
51,megaage_asian/train/83.jpg,training
4,megaage_asian/train/84.jpg,training
18,megaage_asian/train/85.jpg,training
34,megaage_asian/train/86.jpg,training
5,megaage_asian/train/87.jpg,training
32,megaage_asian/train/88.jpg,training
25,megaage_asian/train/89.jpg,training
31,megaage_asian/train/90.jpg,training
14,megaage_asian/train/91.jpg,training
14,megaage_asian/train/92.jpg,training
40,megaage_asian/train/93.jpg,training
30,megaage_asian/train/94.jpg,training
39,megaage_asian/train/95.jpg,training
69,megaage_asian/train/96.jpg,training
2,megaage_asian/train/97.jpg,training
13,megaage_asian/train/98.jpg,training
23,megaage_asian/train/99.jpg,training
8,megaage_asian/train/100.jpg,training
1,megaage_asian/train/101.jpg,training
31,megaage_asian/train/102.jpg,training
18,megaage_asian/train/103.jpg,training
1,megaage_asian/train/104.jpg,training
2,megaage_asian/train/105.jpg,training
1,megaage_asian/train/106.jpg,training
14,megaage_asian/train/107.jpg,training
27,megaage_asian/train/108.jpg,training
32,megaage_asian/train/109.jpg,training
16,megaage_asian/train/110.jpg,training
33,megaage_asian/train/111.jpg,training
24,megaage_asian/train/112.jpg,training
48,megaage_asian/train/113.jpg,training
26,megaage_asian/train/114.jpg,training
10,megaage_asian/train/115.jpg,training
13,megaage_asian/train/116.jpg,training
15,megaage_asian/train/117.jpg,training
20,megaage_asian/train/118.jpg,training
1,megaage_asian/train/119.jpg,training
15,megaage_asian/train/120.jpg,training
33,megaage_asian/train/121.jpg,training
23,megaage_asian/train/122.jpg,training
2,megaage_asian/train/123.jpg,training
1,megaage_asian/train/124.jpg,training
2,megaage_asian/train/125.jpg,training
42,megaage_asian/train/126.jpg,training
29,megaage_asian/train/127.jpg,training
2,megaage_asian/train/128.jpg,training
22,megaage_asian/train/129.jpg,training
44,megaage_asian/train/130.jpg,training
38,megaage_asian/train/131.jpg,training
1,megaage_asian/train/132.jpg,training
65,megaage_asian/train/133.jpg,training
4,megaage_asian/train/134.jpg,training
26,megaage_asian/train/135.jpg,training
23,megaage_asian/train/136.jpg,training
10,megaage_asian/train/137.jpg,training
28,megaage_asian/train/138.jpg,training
2,megaage_asian/train/139.jpg,training
23,megaage_asian/train/140.jpg,training
1,megaage_asian/train/141.jpg,training
26,megaage_asian/train/142.jpg,training
16,megaage_asian/train/143.jpg,training
1,megaage_asian/train/144.jpg,training
8,megaage_asian/train/145.jpg,training
9,megaage_asian/train/146.jpg,training
6,megaage_asian/train/147.jpg,training
27,megaage_asian/train/148.jpg,training
8,megaage_asian/train/149.jpg,training
25,megaage_asian/train/150.jpg,training
8,megaage_asian/train/151.jpg,training
1,megaage_asian/train/152.jpg,training
10,megaage_asian/train/153.jpg,training
11,megaage_asian/train/154.jpg,training
29,megaage_asian/train/155.jpg,training
15,megaage_asian/train/156.jpg,training
7,megaage_asian/train/157.jpg,training
37,megaage_asian/train/158.jpg,training
1,megaage_asian/train/159.jpg,training
32,megaage_asian/train/160.jpg,training
7,megaage_asian/train/161.jpg,training
36,megaage_asian/train/162.jpg,training
31,megaage_asian/train/163.jpg,training
23,megaage_asian/train/164.jpg,training
24,megaage_asian/train/165.jpg,training
37,megaage_asian/train/166.jpg,training
2,megaage_asian/train/167.jpg,training
18,megaage_asian/train/168.jpg,training
28,megaage_asian/train/169.jpg,training
39,megaage_asian/train/170.jpg,training
1,megaage_asian/train/171.jpg,training
2,megaage_asian/train/172.jpg,training
12,megaage_asian/train/173.jpg,training
6,megaage_asian/train/174.jpg,training
24,megaage_asian/train/175.jpg,training
65,megaage_asian/train/176.jpg,training
1,megaage_asian/train/177.jpg,training
21,megaage_asian/train/178.jpg,training
24,megaage_asian/train/179.jpg,training
68,megaage_asian/train/180.jpg,training
21,megaage_asian/train/181.jpg,training
12,megaage_asian/train/182.jpg,training
18,megaage_asian/train/183.jpg,training
25,megaage_asian/train/184.jpg,training
35,megaage_asian/train/185.jpg,training
22,megaage_asian/train/186.jpg,training
7,megaage_asian/train/187.jpg,training
2,megaage_asian/train/188.jpg,training
3,megaage_asian/train/189.jpg,training
7,megaage_asian/train/190.jpg,training
5,megaage_asian/train/191.jpg,training
51,megaage_asian/train/192.jpg,training
